"bin start","sample_type","mena_pro_24"
-3000,"egg",0.21036878820590044
-3000,"seedling",0.259393032910569
-3000,"sperm",0.18478972182877362
-3000,"zygote",0.24315842029889975
-2900,"egg",0.20634882616358197
-2900,"seedling",0.2624873727416385
-2900,"sperm",0.18950622248909388
-2900,"zygote",0.21991665673241886
-2800,"egg",0.19819736601294605
-2800,"seedling",0.25495498838775793
-2800,"sperm",0.1853572101413369
-2800,"zygote",0.2163714752183006
-2700,"egg",0.20506166604843012
-2700,"seedling",0.2616791378169431
-2700,"sperm",0.18138495046616643
-2700,"zygote",0.22947546641201608
-2600,"egg",0.21556715846591148
-2600,"seedling",0.2618603448599698
-2600,"sperm",0.17755783130374495
-2600,"zygote",0.2273722694295283
-2500,"egg",0.21754047757058412
-2500,"seedling",0.2715524434502243
-2500,"sperm",0.18571541130760078
-2500,"zygote",0.24465107634080263
-2400,"egg",0.21595436637147516
-2400,"seedling",0.2749763647409983
-2400,"sperm",0.18791438986050635
-2400,"zygote",0.24500572055126457
-2300,"egg",0.2210224597209295
-2300,"seedling",0.2836821277000506
-2300,"sperm",0.199044439112879
-2300,"zygote",0.2406288250129831
-2200,"egg",0.22101820142001422
-2200,"seedling",0.29099120694338154
-2200,"sperm",0.19398398235024183
-2200,"zygote",0.23949029181507211
-2100,"egg",0.22724503535959584
-2100,"seedling",0.28237954421874956
-2100,"sperm",0.1866319112620972
-2100,"zygote",0.24472656523730174
-2000,"egg",0.23512572032352705
-2000,"seedling",0.3048150203566513
-2000,"sperm",0.19521615612919102
-2000,"zygote",0.2556871556745886
-1900,"egg",0.2380539634099476
-1900,"seedling",0.30590671041440193
-1900,"sperm",0.20056964853538378
-1900,"zygote",0.24524472560481111
-1800,"egg",0.23834745544503572
-1800,"seedling",0.32460786464020236
-1800,"sperm",0.19905248441028228
-1800,"zygote",0.26694004836745067
-1700,"egg",0.24791774529592916
-1700,"seedling",0.32295031226100185
-1700,"sperm",0.2122071307511511
-1700,"zygote",0.2799172053708043
-1600,"egg",0.25104187513224974
-1600,"seedling",0.34173226669728446
-1600,"sperm",0.20238972887208012
-1600,"zygote",0.2760097984527572
-1500,"egg",0.25613816576081155
-1500,"seedling",0.34436280121069196
-1500,"sperm",0.22638014200468395
-1500,"zygote",0.292720800464386
-1400,"egg",0.24228886619488585
-1400,"seedling",0.3323447423707914
-1400,"sperm",0.19386317753848475
-1400,"zygote",0.26371350704913765
-1300,"egg",0.2501253536404603
-1300,"seedling",0.3522580509172308
-1300,"sperm",0.1916518811549749
-1300,"zygote",0.2808706509739197
-1200,"egg",0.2594214698204425
-1200,"seedling",0.36479403848474645
-1200,"sperm",0.20924850591891386
-1200,"zygote",0.2789875792204673
-1100,"egg",0.27016002911782544
-1100,"seedling",0.3689435108754377
-1100,"sperm",0.2057056920826763
-1100,"zygote",0.3042923494331335
-1000,"egg",0.2651086955310527
-1000,"seedling",0.38487577626499936
-1000,"sperm",0.2029762093317895
-1000,"zygote",0.31792303518493603
-900,"egg",0.26733006596058057
-900,"seedling",0.41082640936653525
-900,"sperm",0.20726167365239484
-900,"zygote",0.3273480004205737
-800,"egg",0.29752893421389803
-800,"seedling",0.44396375194029125
-800,"sperm",0.20906717135639924
-800,"zygote",0.3882647186901859
-700,"egg",0.3032927217502005
-700,"seedling",0.4853856832822689
-700,"sperm",0.21345763232794956
-700,"zygote",0.38662070413180577
-600,"egg",0.3055282989301644
-600,"seedling",0.5319729580849053
-600,"sperm",0.21374493533757916
-600,"zygote",0.39700305404574504
-500,"egg",0.3211036377123644
-500,"seedling",0.6052771968494405
-500,"sperm",0.22060308877487594
-500,"zygote",0.4106588557890787
-400,"egg",0.33999017356997463
-400,"seedling",0.6409627236381454
-400,"sperm",0.2045337762602334
-400,"zygote",0.4767497433698963
-300,"egg",0.34793159501205384
-300,"seedling",0.6589361130154388
-300,"sperm",0.19773266693422317
-300,"zygote",0.4511615798227432
-200,"egg",0.262481507150951
-200,"seedling",0.5376253436095285
-200,"sperm",0.17370938354226123
-200,"zygote",0.352633799276405
-100,"egg",0.17755641048196016
-100,"seedling",0.23263403913680536
-100,"sperm",0.15591184008318193
-100,"zygote",0.19090793652638288
0,"egg",0.16920385085967904
0,"seedling",0.08999555090378442
0,"sperm",0.1511930902168789
0,"zygote",0.16446433237440183
100,"egg",0.1658802818477438
100,"seedling",0.08589400242175566
100,"sperm",0.16518493948490398
100,"zygote",0.1674544618041224
200,"egg",0.1448960851111671
200,"seedling",0.09464629133714132
200,"sperm",0.14289368207392156
200,"zygote",0.1579964235775733
300,"egg",0.14674277503527952
300,"seedling",0.11408551188842612
300,"sperm",0.12954159881071517
300,"zygote",0.14604541240309651
400,"egg",0.14061878735420208
400,"seedling",0.13405368991749866
400,"sperm",0.1227361521558876
400,"zygote",0.16197514600793822
500,"egg",0.15359082542125427
500,"seedling",0.16890062787713855
500,"sperm",0.13038181855445227
500,"zygote",0.17433113151327145
600,"egg",0.16070597108936285
600,"seedling",0.18300332580525708
600,"sperm",0.13296873556621375
600,"zygote",0.18108525632837402
700,"egg",0.14081384079783796
700,"seedling",0.23941509191311913
700,"sperm",0.12707371756891805
700,"zygote",0.21865342230636625
800,"egg",0.1552941676726717
800,"seedling",0.20663945146381338
800,"sperm",0.12750627647303753
800,"zygote",0.1815542706462709
900,"egg",0.15236826328958447
900,"seedling",0.2096253830525934
900,"sperm",0.12437292558633178
900,"zygote",0.17751215426011685
1000,"egg",0.15458195887437676
1000,"seedling",0.22115430340849984
1000,"sperm",0.11894235188348964
1000,"zygote",0.21293589464187251
1100,"egg",0.16451145127367278
1100,"seedling",0.22324601545634373
1100,"sperm",0.12053175985431577
1100,"zygote",0.20334002407352264
1200,"egg",0.1555340917848657
1200,"seedling",0.2170765225615965
1200,"sperm",0.13316862441352045
1200,"zygote",0.1857176985304611
1300,"egg",0.16412444267290838
1300,"seedling",0.2110856960414734
1300,"sperm",0.1202965349363403
1300,"zygote",0.18342195979686232
1400,"egg",0.15536814289085157
1400,"seedling",0.21077683331451638
1400,"sperm",0.12554063271354507
1400,"zygote",0.18362331866969298
1500,"egg",0.15985649844193334
1500,"seedling",0.20945853270262638
1500,"sperm",0.12913378236477277
1500,"zygote",0.1896620915429704
1600,"egg",0.18663978210425086
1600,"seedling",0.2197324787139445
1600,"sperm",0.14173582424091274
1600,"zygote",0.23085777477945907
1700,"egg",0.16389320440714436
1700,"seedling",0.21422499950935323
1700,"sperm",0.1254409464833174
1700,"zygote",0.202747949087392
1800,"egg",0.18029778917829678
1800,"seedling",0.22249696738490085
1800,"sperm",0.1294040117262041
1800,"zygote",0.2260061373353762
1900,"egg",0.1785378375788614
1900,"seedling",0.21747719166501916
1900,"sperm",0.1390597687634238
1900,"zygote",0.19744289346209581
